9.06,-2.80,-4.25,13.00,0.00,-2.00,9.85,0.88,-2.37,-5.00,-1.00,0.00
8.88,-3.11,-4.05,7.00,1.00,-3.00,9.84,1.15,-2.51,-2.00,0.00,0.00
8.85,-5.36,-5.69,-53.00,-1.00,7.00,9.78,1.00,-2.23,-1.00,-1.00,-1.00
8.90,-3.06,-3.74,-3.00,13.00,2.00,9.82,0.98,-2.54,-3.00,0.00,0.00
9.27,-3.18,-3.87,-5.00,5.00,0.00,9.75,1.10,-2.36,-3.00,0.00,0.00
9.07,-3.37,-3.78,-4.00,4.00,1.00,9.64,1.05,-2.47,0.00,0.00,0.00
9.07,-2.70,-3.81,2.00,-8.00,-1.00,9.74,1.04,-2.42,0.00,0.00,0.00
9.00,-3.15,-4.14,-2.00,0.00,1.00,9.79,1.07,-2.37,-1.00,0.00,0.00
9.19,-2.83,-4.09,-9.00,-2.00,0.00,9.67,1.06,-2.60,-1.00,0.00,0.00
9.05,-2.84,-3.93,-8.00,-1.00,0.00,9.76,1.06,-2.41,2.00,0.00,-1.00
9.01,-2.88,-3.94,-4.00,0.00,0.00,9.76,0.97,-2.37,0.00,-1.00,-1.00
9.05,-2.89,-3.96,0.00,0.00,0.00,9.81,0.80,-2.51,-1.00,0.00,-1.00
9.01,-2.86,-4.00,1.00,0.00,0.00,9.66,1.03,-2.42,0.00,0.00,-1.00
9.17,-3.02,-4.25,-2.00,2.00,0.00,9.62,1.24,-2.38,0.00,0.00,-2.00
9.12,-3.04,-4.08,-4.00,-1.00,0.00,9.76,1.27,-2.48,4.00,0.00,-2.00
9.16,-2.98,-4.12,-1.00,0.00,0.00,9.81,1.28,-2.54,4.00,-4.00,-3.00
9.04,-2.88,-4.12,-1.00,1.00,1.00,9.73,1.14,-2.85,4.00,-6.00,-3.00
9.05,-2.80,-4.14,1.00,0.00,0.00,9.69,0.98,-2.73,6.00,1.00,-4.00
8.99,-2.99,-4.14,-3.00,1.00,-1.00,9.70,1.09,-2.79,12.00,2.00,-2.00
9.07,-2.93,-4.13,0.00,0.00,0.00,9.79,1.04,-2.73,12.00,-2.00,-3.00
9.01,-2.97,-4.31,-2.00,0.00,0.00,9.71,0.64,-2.62,3.00,-1.00,-3.00
9.10,-2.82,-4.24,-5.00,0.00,1.00,9.72,0.65,-2.86,-3.00,-2.00,0.00
8.99,-2.79,-4.27,-4.00,-1.00,0.00,9.64,0.90,-2.97,-11.00,-1.00,1.00
9.13,-2.77,-4.31,1.00,-2.00,0.00,10.41,1.45,-3.66,9.00,-23.00,-13.00
